gender,tenure,service_1,service_2,tariff,expencies,RESULT
F,48,Yes,Yes,POST,24.55,No
F,2,No,No,PRE,34.7,Yes
M,3,Yes,Yes,PRE,107.95,No
M,45,Yes,Yes,PRE,81.4,No
M,1,Yes,No,PRE,80,Yes
F,61,Yes,No,POST,73.8,No
M,3,Yes,No,PRE,64.4,No
F,40,Yes,Yes,POST,103.75,No
F,1,Yes,No,PRE,71.1,No
F,1,Yes,No,PRE,49.9,No
M,51,Yes,Yes,POST,24.6,No
M,2,Yes,No,PRE,49.25,Yes
M,52,No,No,POST,30.1,No
M,51,Yes,Yes,PRE,83.4,No
M,1,Yes,No,PRE,20.45,No
M,31,Yes,Yes,POST,75.25,No
M,47,Yes,No,POST,20.55,No
F,3,Yes,Yes,PRE,75.1,Yes
F,22,Yes,No,POST,20.05,No
F,1,Yes,No,PRE,20.65,No
M,72,Yes,Yes,POST,85.15,No
M,3,Yes,No,PRE,50.15,Yes
M,47,Yes,No,POST,84.95,No
M,72,Yes,Yes,POST,66.5,No
M,66,Yes,Yes,POST,63.3,No
M,35,Yes,Yes,PRE,83.15,No
M,29,Yes,Yes,PRE,84.9,No
F,2,Yes,No,PRE,20.55,No
M,4,Yes,No,PRE,49.25,No
F,25,Yes,No,PRE,79.85,Yes
F,65,Yes,No,POST,59.6,No
M,27,Yes,Yes,POST,104.65,No
M,29,Yes,No,PRE,75.3,No
M,29,Yes,Yes,PRE,80.1,No
M,1,Yes,No,PRE,19.55,Yes
F,20,Yes,No,PRE,81,No
F,58,Yes,Yes,POST,24.7,No
F,14,Yes,Yes,PRE,86,No
M,72,Yes,Yes,POST,25.4,No
M,46,Yes,Yes,PRE,89.15,No
F,71,No,No,POST,58.25,No
M,32,Yes,Yes,PRE,85.65,No
F,26,No,No,PRE,50.35,No
M,68,Yes,Yes,PRE,80.35,No
M,2,Yes,No,POST,20.2,No
M,61,Yes,No,POST,20.55,No
F,4,Yes,Yes,PRE,85.95,Yes
M,3,Yes,No,PRE,45.35,Yes
M,33,Yes,Yes,PRE,94.5,Yes
M,9,Yes,No,PRE,21.25,No
F,22,Yes,Yes,POST,26.25,No
F,5,Yes,No,PRE,80.85,No
F,30,Yes,Yes,PRE,91.7,Yes
M,65,Yes,Yes,POST,74.2,No
F,45,Yes,Yes,PRE,87.25,Yes
M,5,Yes,No,PRE,20.35,No
M,25,Yes,No,PRE,75.5,No
F,72,Yes,Yes,POST,79.05,No
F,27,Yes,Yes,PRE,90.15,No
M,32,No,No,PRE,50.6,No
F,30,Yes,Yes,POST,110.45,No
M,70,Yes,No,POST,101,No
M,42,Yes,Yes,PRE,79.35,No
F,72,Yes,Yes,POST,89.85,No
F,47,Yes,Yes,POST,65,No
F,2,Yes,No,PRE,80.45,No
M,10,Yes,Yes,PRE,98.55,Yes
F,61,Yes,Yes,POST,24.1,No
F,5,Yes,No,PRE,44.05,No
F,72,Yes,Yes,POST,110.8,No
M,72,Yes,Yes,POST,114.95,No
F,3,Yes,No,PRE,75.05,No
M,48,Yes,No,POST,19.25,No
F,63,Yes,No,POST,90.05,No
F,27,Yes,No,PRE,56.7,No
M,70,Yes,No,POST,80.15,No
M,7,Yes,No,PRE,71.35,No
M,0,Yes,No,POST,20.25,No
F,2,Yes,No,PRE,90.35,No
M,20,Yes,Yes,PRE,98.55,Yes
M,66,Yes,No,POST,19.7,No
F,3,Yes,No,PRE,19.85,No
F,15,Yes,No,PRE,85.9,Yes
F,72,Yes,Yes,POST,90.35,No
M,1,Yes,No,PRE,20.8,No
F,22,Yes,No,PRE,89.25,Yes
M,3,Yes,No,PRE,70.3,Yes
F,72,Yes,Yes,POST,66.85,No
M,65,Yes,No,POST,19.9,No
F,11,No,No,PRE,35.8,No
M,22,Yes,Yes,PRE,78.85,No
M,14,Yes,No,POST,20.4,No
M,41,Yes,No,PRE,74.25,No
M,17,Yes,No,POST,64.8,No
M,11,Yes,No,PRE,20.45,No
M,15,Yes,Yes,PRE,93.35,Yes
F,1,Yes,No,PRE,19.9,Yes
F,5,Yes,No,PRE,88.9,Yes
M,33,Yes,No,POST,95.8,Yes
F,72,Yes,Yes,POST,110.65,No
F,3,No,No,PRE,40.3,No
M,2,Yes,Yes,PRE,82,Yes
F,59,Yes,Yes,POST,107,No
M,2,Yes,No,PRE,45.35,Yes
M,71,Yes,No,POST,73.35,No
F,5,Yes,No,PRE,44.8,No
M,27,Yes,No,PRE,54.75,No
F,1,Yes,No,PRE,52.2,Yes
M,63,No,No,POST,40.6,No
F,46,Yes,Yes,POST,110,Yes
M,72,Yes,Yes,POST,55.3,No
F,34,Yes,Yes,PRE,60.85,No
F,24,Yes,Yes,POST,78.4,No
M,72,Yes,Yes,POST,69.65,No
F,60,No,No,POST,59.85,No
M,68,Yes,Yes,POST,76.9,No
F,8,Yes,No,POST,19.85,No
F,34,Yes,No,POST,67.65,No
F,6,No,No,PRE,45,No
M,2,Yes,No,PRE,64.2,No
M,31,Yes,Yes,POST,81.7,No
F,20,Yes,Yes,PRE,25.55,No
F,1,Yes,No,PRE,20,No
M,62,Yes,Yes,POST,96.75,Yes
F,70,Yes,Yes,POST,75.65,No
F,10,Yes,Yes,PRE,98.5,Yes
M,39,Yes,Yes,POST,23.8,No
F,46,Yes,No,POST,64.2,No
M,6,Yes,No,PRE,85.35,Yes
F,72,Yes,Yes,POST,76.8,No
M,18,Yes,No,PRE,55.2,No
M,71,Yes,Yes,POST,108.55,No
M,40,Yes,Yes,PRE,101.3,Yes
M,1,Yes,No,PRE,69.55,Yes
M,58,Yes,Yes,POST,103.25,Yes
M,70,Yes,Yes,POST,104,Yes
F,42,Yes,Yes,POST,25.25,No
M,34,No,No,POST,30.4,No
M,5,Yes,No,PRE,20.05,No
F,25,Yes,Yes,PRE,84.6,No
F,2,Yes,No,PRE,86.2,Yes
F,55,Yes,No,POST,103.7,No
M,21,Yes,Yes,PRE,111.2,Yes
M,70,Yes,Yes,POST,88,No
F,61,Yes,Yes,PRE,106.35,No
M,43,Yes,No,POST,79.15,No
M,47,Yes,Yes,POST,103.1,No
M,5,Yes,No,PRE,63.95,No
F,62,Yes,Yes,POST,25.8,No
F,16,Yes,No,PRE,89.45,Yes
M,7,Yes,Yes,PRE,95.6,Yes
F,14,Yes,Yes,PRE,25.55,No
M,60,Yes,No,POST,90.95,Yes
M,34,No,No,PRE,44.85,No
F,50,Yes,Yes,POST,108.55,Yes
M,38,Yes,Yes,POST,25.05,No
F,70,Yes,No,POST,74.1,No
F,37,Yes,Yes,PRE,88.8,No
F,4,Yes,No,PRE,78.85,Yes
M,60,Yes,Yes,PRE,93.25,No
M,62,Yes,No,POST,71.4,No
M,1,Yes,No,PRE,44.4,Yes
M,36,Yes,No,PRE,79.2,No
M,44,Yes,No,POST,20.4,No
F,55,Yes,Yes,POST,100,Yes
F,72,Yes,Yes,POST,105,No
F,12,Yes,No,POST,19.8,Yes
F,13,No,No,PRE,30.85,No
M,1,Yes,No,PRE,89.9,Yes
F,15,Yes,No,POST,20.55,No
F,65,Yes,No,POST,84.85,No
F,12,No,No,POST,33.15,No
M,72,Yes,Yes,POST,92,No
F,72,Yes,Yes,POST,89.8,No
F,72,Yes,Yes,POST,115.8,No
M,52,Yes,Yes,POST,85.15,No
M,2,Yes,Yes,PRE,24.85,No
F,5,Yes,No,PRE,64.35,No
F,68,Yes,No,POST,20.5,No
F,62,Yes,Yes,POST,100.15,Yes
M,72,Yes,Yes,POST,86.05,No
M,1,Yes,No,PRE,50.8,Yes
F,66,Yes,Yes,POST,89,No
M,72,No,No,POST,64.8,No
M,26,Yes,No,POST,19.8,No
M,64,Yes,Yes,POST,93.4,No
M,20,Yes,No,PRE,73.65,Yes
F,3,Yes,No,PRE,95.1,Yes
M,22,Yes,Yes,PRE,94.65,Yes
M,4,Yes,No,PRE,80.6,Yes
M,62,No,No,POST,39,No
F,5,Yes,No,PRE,20.5,No
M,59,Yes,Yes,POST,85.55,Yes
M,3,Yes,Yes,POST,26.4,No
F,72,Yes,Yes,POST,98.2,No
M,57,Yes,No,POST,97.55,No
M,66,Yes,No,POST,19.95,No
F,60,No,No,PRE,50.8,Yes
M,45,Yes,Yes,POST,99.7,No
F,3,No,No,PRE,34.8,No
F,15,Yes,No,PRE,105.1,Yes
F,51,No,No,POST,60.15,No
F,60,Yes,Yes,POST,64.75,No
M,33,Yes,Yes,PRE,54.65,No
M,10,Yes,No,PRE,110.1,Yes
M,26,Yes,No,POST,19.3,No
F,6,Yes,No,PRE,83.9,Yes
F,67,Yes,Yes,POST,111.25,No
F,49,No,No,POST,35.8,No
M,1,Yes,No,PRE,20.05,No
F,7,Yes,No,PRE,84.35,No
F,27,Yes,Yes,POST,110.5,No
M,37,Yes,No,POST,91.2,No
F,63,Yes,Yes,PRE,100.55,Yes
M,31,Yes,Yes,PRE,89.3,No
M,50,Yes,Yes,PRE,103.85,Yes
M,32,Yes,Yes,PRE,81.1,No
F,1,No,No,PRE,24.6,Yes
F,63,Yes,Yes,POST,81.2,No
M,30,Yes,Yes,PRE,94.3,No
M,71,Yes,Yes,POST,116.1,No
F,53,Yes,Yes,POST,105.55,No
F,12,Yes,No,PRE,98.9,Yes
M,50,Yes,Yes,PRE,94.4,No
F,2,Yes,No,PRE,19.5,No
F,9,Yes,Yes,PRE,98.3,Yes
M,17,Yes,No,PRE,93.85,Yes
F,56,Yes,No,POST,105.6,No
M,67,Yes,No,POST,81.35,No
M,9,Yes,Yes,PRE,100.5,Yes
M,4,Yes,No,PRE,56.4,No
M,19,Yes,No,POST,65.35,No
F,8,Yes,No,PRE,19.95,No
F,71,Yes,Yes,POST,111.25,No
M,10,Yes,No,PRE,72.85,Yes
F,15,Yes,Yes,PRE,89,No
M,72,Yes,Yes,POST,106.1,No
M,12,Yes,No,POST,20.05,No
M,72,Yes,Yes,POST,25.2,No
M,1,Yes,Yes,PRE,73.55,Yes
F,23,Yes,No,PRE,75.4,No
M,72,No,No,POST,65.55,No
F,26,Yes,Yes,PRE,80.7,No
F,21,Yes,No,POST,104.55,No
M,60,Yes,Yes,POST,24.15,No
M,12,Yes,No,PRE,20.45,No
M,16,Yes,Yes,PRE,75.4,No
F,63,Yes,Yes,POST,79.7,No
F,22,Yes,No,PRE,81.7,No
F,32,Yes,No,PRE,76.3,No
F,3,Yes,Yes,PRE,79.4,Yes
F,13,Yes,No,PRE,81.15,Yes
F,68,Yes,Yes,POST,103.75,No
F,30,Yes,No,POST,86.45,No
F,16,Yes,No,PRE,75.1,No
M,33,Yes,No,POST,80.6,No
M,72,Yes,No,POST,19.3,No
F,4,Yes,Yes,PRE,84.6,Yes
F,12,No,No,POST,33.6,No
F,4,Yes,Yes,PRE,83.25,No
F,0,Yes,No,POST,80.85,No
F,6,Yes,Yes,PRE,79.05,Yes
F,65,Yes,Yes,POST,108.05,No
F,15,Yes,No,PRE,19.9,No
F,24,Yes,No,POST,21.05,No
F,13,No,No,PRE,30.15,No
M,24,Yes,No,PRE,79.85,No
F,72,No,No,POST,65.5,No
F,54,Yes,Yes,PRE,104.1,No
F,3,Yes,Yes,PRE,74.4,Yes
M,4,Yes,No,PRE,20.5,No
F,32,Yes,Yes,PRE,91.35,No
M,35,Yes,Yes,PRE,99.05,Yes
M,35,Yes,No,POST,20.5,No
M,2,Yes,No,PRE,44.95,Yes
F,8,Yes,No,PRE,75.6,No
M,22,Yes,No,PRE,55.1,No
F,15,Yes,No,PRE,58.95,No
M,22,Yes,Yes,PRE,95.1,No
M,1,Yes,No,PRE,44.7,Yes
F,71,Yes,Yes,POST,25.45,No
M,4,Yes,No,PRE,56.75,No
M,25,Yes,Yes,PRE,81.75,No
F,32,Yes,No,PRE,86.1,No
M,7,No,No,PRE,29.8,No
M,17,Yes,No,POST,20.5,No
M,8,Yes,No,PRE,60.9,No
F,56,Yes,Yes,POST,73.25,No
M,1,Yes,No,PRE,45.7,Yes
M,8,Yes,No,PRE,100.3,Yes
M,7,Yes,No,PRE,19.25,Yes
M,3,Yes,No,PRE,20.85,No
F,71,Yes,No,POST,77.35,No
F,2,Yes,Yes,PRE,96,Yes
F,1,Yes,No,PRE,90.55,Yes
M,49,Yes,Yes,PRE,93.85,No
M,58,Yes,No,POST,70.1,No
M,44,No,No,PRE,30.35,Yes
F,59,Yes,No,POST,75.95,No
M,71,Yes,Yes,POST,108.05,Yes
M,1,Yes,No,PRE,69.9,Yes
F,11,Yes,Yes,PRE,75.25,No
M,62,Yes,Yes,POST,103.75,Yes
F,35,Yes,No,POST,54.95,No
F,20,Yes,No,PRE,19.5,No
M,40,Yes,No,POST,19.6,No
F,39,Yes,No,POST,47.85,No
M,1,Yes,Yes,PRE,86.6,Yes
F,72,Yes,Yes,POST,23.75,No
F,33,Yes,Yes,PRE,80.6,Yes
F,12,Yes,No,PRE,43.8,No
M,1,Yes,No,PRE,19.75,No
M,27,Yes,No,PRE,19.15,No
M,34,Yes,No,POST,19.6,No
F,56,Yes,No,POST,80.3,No
F,58,Yes,Yes,POST,24.35,No
F,22,Yes,Yes,POST,25.25,No
F,10,Yes,Yes,POST,26.1,No
M,13,Yes,No,POST,20,No
F,35,Yes,Yes,PRE,85.3,Yes
F,34,Yes,No,PRE,70,Yes
F,4,Yes,Yes,PRE,94.3,Yes
M,72,Yes,No,POST,20.7,No
M,2,Yes,No,PRE,70.3,No
F,7,Yes,No,PRE,95.35,Yes
M,27,Yes,Yes,PRE,75.5,Yes
M,4,Yes,No,PRE,69.55,No
F,37,Yes,No,POST,19.85,No
M,21,Yes,No,PRE,20,No
F,53,Yes,Yes,POST,95.85,No
F,18,Yes,Yes,PRE,90.1,Yes
F,2,Yes,No,PRE,68.95,Yes
M,32,Yes,Yes,PRE,99.55,Yes
M,23,Yes,No,POST,20.75,No
M,3,Yes,No,PRE,50.15,No
F,71,No,No,POST,58.65,No
M,9,Yes,No,PRE,95.9,No
F,1,Yes,No,PRE,49.5,No
M,18,Yes,No,PRE,57.45,Yes
M,12,Yes,No,POST,53.65,Yes
M,71,Yes,Yes,POST,80.1,No
F,64,Yes,Yes,POST,24.4,No
M,4,No,No,PRE,40.05,No
F,23,Yes,No,PRE,19.5,No
F,39,Yes,No,PRE,51.05,No
M,28,Yes,No,POST,54.35,No
F,5,Yes,No,PRE,84.7,No
F,45,Yes,No,PRE,86.1,No
M,37,Yes,No,PRE,70.35,No
F,60,Yes,No,POST,110,No
M,8,Yes,Yes,PRE,100.6,Yes
F,47,Yes,Yes,POST,94.9,No
M,26,Yes,Yes,PRE,83.75,Yes
F,3,Yes,No,PRE,88.3,Yes
F,50,Yes,No,PRE,69.75,No
M,27,Yes,Yes,PRE,71.6,No
F,8,Yes,No,PRE,92.1,Yes
F,62,Yes,Yes,POST,23.65,No
F,71,Yes,No,POST,81.85,No
M,66,Yes,Yes,POST,25.1,No
M,68,Yes,Yes,POST,114.7,No
F,13,No,No,PRE,49.15,No
M,56,Yes,No,POST,80.9,No
M,38,Yes,No,PRE,79.45,Yes
M,14,Yes,No,PRE,90.45,Yes
F,16,Yes,No,POST,19.3,No
F,14,Yes,No,PRE,70.2,No
M,32,Yes,No,PRE,69.75,Yes
F,8,Yes,No,POST,54.25,No
F,43,Yes,Yes,PRE,99.3,No
F,52,Yes,Yes,POST,74,No
M,3,Yes,No,PRE,50.25,No
M,29,Yes,No,POST,19.8,No
F,1,Yes,No,PRE,19.65,Yes
M,12,No,No,PRE,43.65,Yes
F,16,No,No,PRE,35.5,No
F,40,Yes,Yes,POST,80.75,No
F,5,No,No,PRE,39.5,Yes
M,40,Yes,Yes,PRE,97.1,Yes
F,36,Yes,No,POST,19.55,No
F,5,Yes,No,PRE,80,Yes
F,10,Yes,No,PRE,84.7,Yes
M,2,Yes,No,PRE,89.55,Yes
M,23,Yes,Yes,PRE,90.6,Yes
M,26,Yes,No,POST,20.05,No
F,72,Yes,Yes,POST,112.4,No
F,34,Yes,No,PRE,50.2,No
M,10,Yes,No,PRE,62.25,No
F,14,Yes,No,POST,55.7,No
F,23,Yes,Yes,PRE,90.05,Yes
M,47,Yes,No,POST,19.65,No
M,24,Yes,No,PRE,89.25,No
M,49,Yes,Yes,PRE,99.05,Yes
M,20,Yes,No,POST,54,No
F,2,Yes,No,PRE,69.75,Yes
F,2,Yes,No,PRE,49.05,Yes
M,22,No,No,POST,56.75,No
M,7,Yes,Yes,PRE,98.05,Yes
M,1,Yes,No,PRE,21.1,No
F,59,Yes,Yes,PRE,96.65,No
F,58,Yes,Yes,POST,24.5,No
F,41,Yes,Yes,PRE,114.5,Yes
F,59,Yes,Yes,POST,79.2,No
F,3,Yes,No,PRE,69.55,No
M,32,Yes,No,POST,20.05,No
M,46,Yes,Yes,PRE,98.85,No
M,0,Yes,Yes,POST,25.75,No
M,2,Yes,No,PRE,80.95,Yes
F,52,Yes,No,POST,19.6,No
F,13,Yes,No,PRE,74.3,Yes
F,11,Yes,No,PRE,89.7,Yes
M,32,Yes,Yes,PRE,87.65,No
M,17,Yes,Yes,PRE,100.45,Yes
F,16,Yes,Yes,PRE,74.75,No
F,51,Yes,Yes,POST,107.45,No
M,29,Yes,No,POST,75.35,No
M,70,Yes,No,POST,64.95,No
F,71,Yes,Yes,POST,100.45,No
M,41,Yes,Yes,POST,68.5,No
M,1,Yes,No,PRE,80.55,No
F,7,Yes,No,PRE,81.25,No
M,25,Yes,No,POST,90.4,Yes
M,67,Yes,Yes,POST,89.55,No
M,5,Yes,Yes,PRE,55.7,No
M,15,Yes,Yes,PRE,24.8,No
F,20,Yes,No,PRE,20,No
M,3,Yes,No,PRE,56.15,Yes
M,54,Yes,Yes,POST,105.2,No
M,42,Yes,No,POST,19.55,No
F,9,Yes,No,PRE,79.75,No
F,63,Yes,Yes,POST,97.45,No
F,69,Yes,Yes,POST,24.25,No
F,69,Yes,Yes,POST,24.6,No
M,40,Yes,No,PRE,50.15,No
M,60,No,No,POST,39.6,No
F,4,Yes,No,PRE,94.4,Yes
F,71,Yes,Yes,POST,89.85,No
F,37,Yes,Yes,PRE,78.95,Yes
M,32,Yes,Yes,PRE,98.85,No
M,39,Yes,Yes,POST,53.85,No
F,38,Yes,Yes,POST,24.25,No
M,52,Yes,Yes,POST,89.45,No
F,48,Yes,Yes,PRE,105.25,No
M,70,No,No,POST,59.5,No
M,20,Yes,No,PRE,70.55,No
F,50,Yes,Yes,POST,82.5,No
F,19,No,No,POST,44.85,Yes
M,25,Yes,No,POST,61.6,No
M,12,Yes,No,PRE,49.05,No
M,39,Yes,Yes,PRE,105.65,Yes
M,7,Yes,No,PRE,74.65,Yes
F,23,Yes,No,POST,66.25,No
M,27,Yes,No,PRE,19.4,No
M,47,Yes,Yes,PRE,86.05,No
M,26,Yes,No,POST,19.15,No
F,14,Yes,Yes,PRE,64.7,Yes
F,11,Yes,Yes,PRE,104.05,Yes
M,2,Yes,No,PRE,19.25,No
F,26,Yes,No,PRE,81.95,No
F,72,Yes,Yes,POST,114.65,No
F,63,Yes,No,POST,20,No
M,71,Yes,No,POST,19.8,No
M,11,Yes,Yes,PRE,65.15,No
M,14,Yes,No,POST,19.65,No
F,13,Yes,Yes,POST,88.95,No
M,6,Yes,No,PRE,20.2,No
M,11,Yes,Yes,PRE,75.2,No
M,18,Yes,Yes,PRE,56.8,No
M,1,No,No,PRE,35.55,Yes
F,32,Yes,No,PRE,75.5,No
M,29,No,No,POST,35.6,No
F,3,Yes,Yes,PRE,60.25,No
F,2,Yes,Yes,PRE,95.15,Yes
M,13,Yes,No,PRE,96.65,Yes
F,41,No,No,PRE,40.35,No
F,1,Yes,No,PRE,18.85,No
M,7,Yes,No,PRE,54.85,No
F,52,Yes,No,POST,64.3,No
F,45,Yes,Yes,POST,24.65,No
M,70,Yes,Yes,POST,76.1,No
F,53,Yes,No,POST,18.7,No
F,62,Yes,Yes,POST,97.95,No
F,60,Yes,Yes,PRE,94.1,No
F,3,Yes,No,PRE,80.4,Yes
F,23,Yes,No,PRE,95.1,No
M,1,No,No,PRE,31.35,Yes
F,67,Yes,No,POST,72.35,No
F,12,Yes,Yes,PRE,89.75,Yes
F,71,Yes,Yes,POST,82.7,No
M,25,Yes,No,POST,19.9,No
F,5,Yes,Yes,PRE,53.8,No
M,26,Yes,Yes,POST,51.55,No
M,1,Yes,No,POST,19.65,No
M,70,No,No,POST,44.05,No
M,72,Yes,Yes,POST,114,No
M,60,Yes,No,POST,94.4,Yes
F,32,Yes,Yes,PRE,100.4,No
M,1,Yes,No,PRE,19.85,Yes
F,14,Yes,Yes,POST,54.25,No
F,13,Yes,Yes,PRE,80,No
F,6,Yes,Yes,PRE,109.9,Yes
F,46,Yes,Yes,POST,79.2,No
M,15,Yes,No,PRE,101.35,Yes
M,43,Yes,Yes,PRE,94.3,No
M,39,Yes,No,POST,49.8,No
M,21,Yes,No,PRE,60.05,Yes
M,57,No,No,PRE,53.75,No
F,53,Yes,No,POST,93.45,No
M,18,Yes,No,PRE,87.9,No
F,1,Yes,Yes,PRE,60.15,Yes
F,58,Yes,Yes,POST,61.05,No
F,71,Yes,Yes,POST,104.05,No
F,35,Yes,No,POST,99.25,No
M,3,Yes,No,PRE,85.7,No
M,38,Yes,Yes,POST,104.85,No
M,35,Yes,Yes,POST,69.15,No
M,7,Yes,Yes,PRE,90.45,Yes
F,47,Yes,No,POST,74.45,No
F,14,Yes,No,PRE,50.45,No
F,20,Yes,No,PRE,60,No
M,66,Yes,Yes,POST,85.25,No
M,15,Yes,No,PRE,19.45,No
F,42,Yes,No,POST,20.75,No
F,17,Yes,Yes,PRE,78.9,No
M,37,Yes,Yes,POST,104.5,No
F,12,Yes,No,PRE,49.4,No
M,53,Yes,No,POST,94.25,Yes
F,60,Yes,Yes,POST,25,No
M,18,No,No,PRE,25.55,No
M,1,Yes,Yes,PRE,74.9,Yes
F,3,Yes,No,PRE,70.15,No
F,9,Yes,No,PRE,69.4,No
F,1,Yes,No,PRE,80.25,Yes
M,56,Yes,Yes,POST,93.15,No
M,17,Yes,No,PRE,69,Yes
F,11,Yes,Yes,PRE,66.35,Yes
M,7,Yes,No,PRE,69.55,No
F,69,Yes,No,POST,20.2,No
M,19,Yes,Yes,PRE,86,Yes
F,3,Yes,No,PRE,80.3,Yes
M,54,Yes,No,POST,20.4,No
M,62,Yes,Yes,POST,23.75,No
M,24,Yes,Yes,PRE,90.55,Yes
F,62,Yes,Yes,PRE,70.45,No
M,17,Yes,Yes,PRE,65.75,No
M,9,No,No,PRE,24.6,No
M,64,Yes,No,POST,69.25,No
F,2,Yes,Yes,PRE,75.9,Yes
M,1,Yes,No,PRE,45.85,Yes
F,16,No,No,PRE,49.95,Yes
F,72,Yes,Yes,POST,24.65,No
M,30,Yes,Yes,POST,90.4,No
F,49,Yes,Yes,PRE,100.85,No
M,61,Yes,Yes,POST,75.35,No
M,47,Yes,Yes,PRE,87.2,No
M,20,Yes,No,PRE,64.4,No
M,34,Yes,No,PRE,78.3,Yes
F,70,Yes,Yes,POST,24.7,No
M,54,Yes,No,POST,105.85,No
M,61,Yes,Yes,POST,98.3,No
M,3,Yes,Yes,PRE,76.95,Yes
M,13,Yes,No,POST,19.45,No
F,16,Yes,Yes,PRE,96.15,Yes
F,3,Yes,No,PRE,58.7,No
M,25,Yes,No,PRE,20.15,No
M,30,Yes,Yes,PRE,64.5,No
F,21,No,No,PRE,28.5,No
M,1,Yes,No,PRE,45.3,Yes
F,15,Yes,No,PRE,19.4,Yes
M,23,Yes,No,PRE,90.45,No
F,45,Yes,Yes,PRE,105.15,No
F,24,Yes,Yes,POST,83.15,No
F,11,Yes,Yes,PRE,90.15,Yes
M,1,Yes,No,PRE,45.05,Yes
F,56,Yes,Yes,POST,103.2,No
F,1,Yes,No,PRE,75.8,Yes
M,1,Yes,No,PRE,19.45,No
F,7,Yes,No,PRE,79.3,Yes
F,55,Yes,No,POST,88.8,No
F,2,No,No,PRE,30.9,Yes
F,72,Yes,Yes,POST,85.9,No
F,45,No,No,POST,34.2,No
F,47,Yes,No,POST,20.15,No
F,46,Yes,No,POST,95.25,Yes
M,2,Yes,No,PRE,50.3,No
F,2,Yes,No,PRE,80.15,No
F,12,Yes,No,PRE,51.25,No
F,68,Yes,Yes,PRE,89.6,Yes
M,69,Yes,No,POST,95.2,No
M,56,Yes,No,POST,94.8,No
F,4,Yes,Yes,PRE,80.25,No
M,64,Yes,Yes,POST,76.1,No
M,59,Yes,Yes,POST,110.15,Yes
M,62,Yes,Yes,POST,115.55,No
M,63,Yes,Yes,POST,24.65,No
F,53,No,No,POST,53.6,No
M,5,Yes,No,PRE,19.45,No
M,49,Yes,Yes,PRE,88.2,No
F,62,Yes,Yes,POST,101.15,No
F,55,Yes,No,POST,56.8,No
F,71,Yes,No,POST,99.4,No
F,72,Yes,No,POST,20.1,No
M,36,No,No,POST,60.7,No
M,25,Yes,No,POST,20.95,No
F,72,Yes,Yes,POST,114.85,No
F,36,Yes,No,POST,19.25,No
M,1,Yes,No,PRE,62.8,No
F,72,Yes,Yes,POST,105.5,No
M,59,Yes,No,POST,19.85,No
M,7,Yes,No,PRE,89.5,Yes
F,1,Yes,No,POST,74.1,No
F,30,Yes,Yes,PRE,107.5,No
M,64,Yes,No,POST,19.55,No
M,63,Yes,Yes,POST,68.8,No
M,72,Yes,Yes,POST,84.45,No
M,8,Yes,No,PRE,75,Yes
F,62,Yes,Yes,POST,84.5,No
M,67,Yes,Yes,POST,111.2,No
M,6,Yes,No,PRE,44.75,Yes
F,70,Yes,Yes,POST,80.6,No
F,20,Yes,No,PRE,80.7,No
F,5,Yes,Yes,PRE,75.6,No
F,24,No,No,POST,57.6,No
F,11,Yes,No,PRE,44.05,Yes
M,72,Yes,Yes,POST,110.6,No
F,66,Yes,No,POST,58.2,No
F,45,Yes,No,POST,81,No
F,69,Yes,No,POST,19.7,No
M,15,Yes,Yes,PRE,85.6,Yes
F,28,Yes,No,PRE,59.55,No
F,70,Yes,Yes,POST,115.55,Yes
F,36,Yes,No,POST,75.55,No
M,16,Yes,Yes,PRE,86.6,Yes
F,18,Yes,Yes,PRE,85.2,Yes
F,34,Yes,Yes,PRE,97.65,Yes
M,42,No,No,POST,45.1,No
M,48,Yes,Yes,POST,70.95,No
M,47,Yes,Yes,PRE,109.55,Yes
F,39,Yes,Yes,POST,89.55,Yes
F,11,Yes,No,POST,20.9,No
M,7,Yes,No,PRE,19.95,No
F,3,Yes,Yes,PRE,24.6,No
M,8,Yes,No,PRE,66.7,No
M,1,Yes,No,PRE,19.45,Yes
M,32,Yes,No,POST,94.8,No
M,60,Yes,No,POST,65.85,No
F,10,Yes,No,PRE,19.95,No
F,71,Yes,Yes,POST,24.65,No
F,4,Yes,No,PRE,20.35,Yes
F,1,Yes,No,PRE,69.25,Yes
F,43,No,No,POST,51.25,No
M,59,Yes,Yes,POST,99.5,Yes
F,23,Yes,No,PRE,54.25,No
F,72,Yes,No,POST,19.4,No
M,22,Yes,No,POST,56.25,No
F,1,No,No,PRE,25.15,No
M,69,Yes,Yes,POST,23.95,No
M,50,No,No,POST,35.4,No
F,1,No,No,PRE,25.2,Yes
M,2,Yes,No,PRE,45,Yes
F,15,Yes,No,PRE,75.35,No
M,31,Yes,No,POST,20.4,No
M,1,Yes,No,PRE,20.15,Yes
M,66,Yes,Yes,PRE,105,Yes
F,0,No,No,POST,56.05,No
M,3,Yes,No,PRE,54.7,Yes
F,8,Yes,No,POST,20,No
M,64,Yes,No,POST,73.05,No
F,28,Yes,No,PRE,20.5,No
F,57,Yes,Yes,POST,100.75,No
F,14,Yes,Yes,PRE,87.25,Yes
M,19,Yes,No,POST,19.95,No
M,10,Yes,No,PRE,79.95,Yes
F,51,No,No,PRE,49.65,No
F,67,Yes,Yes,POST,65.65,No
M,11,Yes,No,PRE,20.45,No
